,timestamp,hf,hl,seed,gpu,image_name,heigth,width,cropped_heigth,cropped_width,is_cropped,lr,epochs
0,1603410154-248962,64,5,0,TRUE,results,512,512,,,FALSE,0.0001,100000
1,1603410154-248962,64,5,42,TRUE,results,512,512,,,FALSE,0.0001,100000
2,1603410154-248962,64,7,0,TRUE,results,512,512,,,FALSE,0.0001,100000
3,1603410154-248962,64,7,42,TRUE,results,512,512,,,FALSE,0.0001,100000
4,1603410154-248962,64,9,0,TRUE,results,512,512,,,FALSE,0.0001,100000
5,1603410154-248962,64,9,42,TRUE,results,512,512,,,FALSE,0.0001,100000
6,1603421693-497763,64,10,0,TRUE,results,512,512,,,FALSE,0.0001,100000
7,1603421693-497763,64,10,42,TRUE,results,512,512,,,FALSE,0.0001,100000
8,1603421693-497763,64,10,123,TRUE,results,512,512,,,FALSE,0.0001,100000
9,1603421693-497763,64,11,0,TRUE,results,512,512,,,FALSE,0.0001,100000
10,1603421693-497763,64,11,42,TRUE,results,512,512,,,FALSE,0.0001,100000
11,1603421693-497763,64,11,123,TRUE,results,512,512,,,FALSE,0.0001,100000
12,1603421693-497763,64,12,0,TRUE,results,512,512,,,FALSE,0.0001,100000
13,1603421693-497763,64,12,42,TRUE,results,512,512,,,FALSE,0.0001,100000
14,1603421693-497763,64,12,123,TRUE,results,512,512,,,FALSE,0.0001,100000
15,1603421693-497763,64,13,0,TRUE,results,512,512,,,FALSE,0.0001,100000
16,1603421693-497763,64,13,42,TRUE,results,512,512,,,FALSE,0.0001,100000
17,1603421693-497763,64,13,123,TRUE,results,512,512,,,FALSE,0.0001,100000
18,1603478755-305517,75,10,0,TRUE,results,512,512,256.0,256.0,TRUE,0.0001,100000
19,1603478755-305517,75,10,42,TRUE,results,512,512,256.0,256.0,TRUE,0.0001,100000
20,1603478755-305517,75,10,123,TRUE,results,512,512,256.0,256.0,TRUE,0.0001,100000
21,1603478755-305517,75,11,0,TRUE,results,512,512,256.0,256.0,TRUE,0.0001,100000
22,1603478755-305517,75,11,42,TRUE,results,512,512,256.0,256.0,TRUE,0.0001,100000
23,1603478755-305517,75,11,123,TRUE,results,512,512,256.0,256.0,TRUE,0.0001,100000
24,1603478755-305517,75,12,0,TRUE,results,512,512,256.0,256.0,TRUE,0.0001,100000
25,1603478755-305517,75,12,42,TRUE,results,512,512,256.0,256.0,TRUE,0.0001,100000
26,1603478755-305517,75,12,123,TRUE,results,512,512,256.0,256.0,TRUE,0.0001,100000
27,1603478755-305517,75,13,0,TRUE,results,512,512,256.0,256.0,TRUE,0.0001,100000
28,1603478755-305517,75,13,42,TRUE,results,512,512,256.0,256.0,TRUE,0.0001,100000
29,1603478755-305517,75,13,123,TRUE,results,512,512,256.0,256.0,TRUE,0.0001,100000
30,1603557121-338703,55,10,0,TRUE,cameramen,512,512,256.0,256.0,TRUE,0.0001,100000
31,1603557121-338703,55,10,42,TRUE,cameramen,512,512,256.0,256.0,TRUE,0.0001,100000
32,1603557121-338703,55,10,123,TRUE,cameramen,512,512,256.0,256.0,TRUE,0.0001,100000
33,1603557121-338703,55,11,0,TRUE,cameramen,512,512,256.0,256.0,TRUE,0.0001,100000
34,1603557121-338703,55,11,42,TRUE,cameramen,512,512,256.0,256.0,TRUE,0.0001,100000
35,1603557121-338703,55,11,123,TRUE,cameramen,512,512,256.0,256.0,TRUE,0.0001,100000
36,1603557121-338703,55,12,0,TRUE,cameramen,512,512,256.0,256.0,TRUE,0.0001,100000
37,1603557121-338703,55,12,42,TRUE,cameramen,512,512,256.0,256.0,TRUE,0.0001,100000
38,1603557121-338703,55,12,123,TRUE,cameramen,512,512,256.0,256.0,TRUE,0.0001,100000
39,1603557121-338703,55,13,0,TRUE,cameramen,512,512,256.0,256.0,TRUE,0.0001,100000
40,1603557121-338703,55,13,42,TRUE,cameramen,512,512,256.0,256.0,TRUE,0.0001,100000
41,1603557121-338703,55,13,123,TRUE,cameramen,512,512,256.0,256.0,TRUE,0.0001,100000
42,1603583765-067812,55,3,0,TRUE,cameramen,512,512,256.0,256.0,TRUE,0.0001,100000
43,1603583765-067812,55,3,42,TRUE,cameramen,512,512,256.0,256.0,TRUE,0.0001,100000
44,1603583765-067812,55,3,123,TRUE,cameramen,512,512,256.0,256.0,TRUE,0.0001,100000
45,1603583765-067812,55,4,0,TRUE,cameramen,512,512,256.0,256.0,TRUE,0.0001,100000
46,1603583765-067812,55,4,42,TRUE,cameramen,512,512,256.0,256.0,TRUE,0.0001,100000
47,1603583765-067812,55,4,123,TRUE,cameramen,512,512,256.0,256.0,TRUE,0.0001,100000
48,1603583765-067812,55,5,0,TRUE,cameramen,512,512,256.0,256.0,TRUE,0.0001,100000
49,1603583765-067812,55,5,42,TRUE,cameramen,512,512,256.0,256.0,TRUE,0.0001,100000
50,1603583765-067812,55,5,123,TRUE,cameramen,512,512,256.0,256.0,TRUE,0.0001,100000
51,1603583765-067812,55,6,0,TRUE,cameramen,512,512,256.0,256.0,TRUE,0.0001,100000
52,1603583765-067812,55,6,42,TRUE,cameramen,512,512,256.0,256.0,TRUE,0.0001,100000
53,1603583765-067812,55,6,123,TRUE,cameramen,512,512,256.0,256.0,TRUE,0.0001,100000
54,1603583765-067812,55,7,0,TRUE,cameramen,512,512,256.0,256.0,TRUE,0.0001,100000
55,1603583765-067812,55,7,42,TRUE,cameramen,512,512,256.0,256.0,TRUE,0.0001,100000
56,1603583765-067812,55,7,123,TRUE,cameramen,512,512,256.0,256.0,TRUE,0.0001,100000
57,1603583765-067812,55,8,0,TRUE,cameramen,512,512,256.0,256.0,TRUE,0.0001,100000
58,1603583765-067812,55,8,42,TRUE,cameramen,512,512,256.0,256.0,TRUE,0.0001,100000
59,1603583765-067812,55,8,123,TRUE,cameramen,512,512,256.0,256.0,TRUE,0.0001,100000
60,1603583765-067812,55,9,0,TRUE,cameramen,512,512,256.0,256.0,TRUE,0.0001,100000
61,1603583765-067812,55,9,42,TRUE,cameramen,512,512,256.0,256.0,TRUE,0.0001,100000
62,1603583765-067812,55,9,123,TRUE,cameramen,512,512,256.0,256.0,TRUE,0.0001,100000
63,1603672968-148557,85,3,0,TRUE,cameramen,512,512,256.0,256.0,TRUE,0.0001,100000
64,1603672968-148557,85,3,42,TRUE,cameramen,512,512,256.0,256.0,TRUE,0.0001,100000
65,1603672968-148557,85,3,123,TRUE,cameramen,512,512,256.0,256.0,TRUE,0.0001,100000
66,1603672968-148557,85,4,0,TRUE,cameramen,512,512,256.0,256.0,TRUE,0.0001,100000
67,1603672968-148557,85,4,42,TRUE,cameramen,512,512,256.0,256.0,TRUE,0.0001,100000
68,1603672968-148557,85,4,123,TRUE,cameramen,512,512,256.0,256.0,TRUE,0.0001,100000
69,1603672968-148557,85,5,0,TRUE,cameramen,512,512,256.0,256.0,TRUE,0.0001,100000
70,1603672968-148557,85,5,42,TRUE,cameramen,512,512,256.0,256.0,TRUE,0.0001,100000
71,1603672968-148557,85,5,123,TRUE,cameramen,512,512,256.0,256.0,TRUE,0.0001,100000
72,1603672968-148557,85,6,0,TRUE,cameramen,512,512,256.0,256.0,TRUE,0.0001,100000
73,1603672968-148557,85,6,42,TRUE,cameramen,512,512,256.0,256.0,TRUE,0.0001,100000
74,1603672968-148557,85,6,123,TRUE,cameramen,512,512,256.0,256.0,TRUE,0.0001,100000
75,1603672968-148557,85,7,0,TRUE,cameramen,512,512,256.0,256.0,TRUE,0.0001,100000
76,1603672968-148557,85,7,42,TRUE,cameramen,512,512,256.0,256.0,TRUE,0.0001,100000
77,1603672968-148557,85,7,123,TRUE,cameramen,512,512,256.0,256.0,TRUE,0.0001,100000
78,1603672968-148557,85,8,0,TRUE,cameramen,512,512,256.0,256.0,TRUE,0.0001,100000
79,1603672968-148557,85,8,42,TRUE,cameramen,512,512,256.0,256.0,TRUE,0.0001,100000
80,1603672968-148557,85,8,123,TRUE,cameramen,512,512,256.0,256.0,TRUE,0.0001,100000
81,1603672968-148557,85,9,0,TRUE,cameramen,512,512,256.0,256.0,TRUE,0.0001,100000
82,1603672968-148557,85,9,42,TRUE,cameramen,512,512,256.0,256.0,TRUE,0.0001,100000
83,1603672968-148557,85,9,123,TRUE,cameramen,512,512,256.0,256.0,TRUE,0.0001,100000
84,1603731938-952001,85,10,0,TRUE,cameramen,512,512,256.0,256.0,TRUE,0.0001,100000
85,1603731938-952001,85,10,42,TRUE,cameramen,512,512,256.0,256.0,TRUE,0.0001,100000
86,1603731938-952001,85,10,123,TRUE,cameramen,512,512,256.0,256.0,TRUE,0.0001,100000
87,1603731938-952001,85,11,0,TRUE,cameramen,512,512,256.0,256.0,TRUE,0.0001,100000
88,1603731938-952001,85,11,42,TRUE,cameramen,512,512,256.0,256.0,TRUE,0.0001,100000
89,1603731938-952001,85,11,123,TRUE,cameramen,512,512,256.0,256.0,TRUE,0.0001,100000
90,1603731938-952001,85,12,0,TRUE,cameramen,512,512,256.0,256.0,TRUE,0.0001,100000
91,1603731938-952001,85,12,42,TRUE,cameramen,512,512,256.0,256.0,TRUE,0.0001,100000
92,1603731938-952001,85,12,123,TRUE,cameramen,512,512,256.0,256.0,TRUE,0.0001,100000
93,1603731938-952001,85,13,0,TRUE,cameramen,512,512,256.0,256.0,TRUE,0.0001,100000
94,1603731938-952001,85,13,42,TRUE,cameramen,512,512,256.0,256.0,TRUE,0.0001,100000
95,1603731938-952001,85,13,123,TRUE,cameramen,512,512,256.0,256.0,TRUE,0.0001,100000
96,1603774067-025589,64,3,0,TRUE,cameramen,512,512,256.0,256.0,TRUE,0.0001,100000
97,1603774067-025589,64,3,42,TRUE,cameramen,512,512,256.0,256.0,TRUE,0.0001,100000
98,1603774067-025589,64,3,123,TRUE,cameramen,512,512,256.0,256.0,TRUE,0.0001,100000
99,1603774067-025589,64,4,0,TRUE,cameramen,512,512,256.0,256.0,TRUE,0.0001,100000
100,1603774067-025589,64,4,42,TRUE,cameramen,512,512,256.0,256.0,TRUE,0.0001,100000
101,1603774067-025589,64,4,123,TRUE,cameramen,512,512,256.0,256.0,TRUE,0.0001,100000
102,1603774067-025589,64,5,0,TRUE,cameramen,512,512,256.0,256.0,TRUE,0.0001,100000
103,1603774067-025589,64,5,42,TRUE,cameramen,512,512,256.0,256.0,TRUE,0.0001,100000
104,1603774067-025589,64,5,123,TRUE,cameramen,512,512,256.0,256.0,TRUE,0.0001,100000
105,1603774067-025589,64,6,0,TRUE,cameramen,512,512,256.0,256.0,TRUE,0.0001,100000
106,1603774067-025589,64,6,42,TRUE,cameramen,512,512,256.0,256.0,TRUE,0.0001,100000
107,1603774067-025589,64,6,123,TRUE,cameramen,512,512,256.0,256.0,TRUE,0.0001,100000
108,1603774067-025589,64,7,0,TRUE,cameramen,512,512,256.0,256.0,TRUE,0.0001,100000
109,1603774067-025589,64,7,42,TRUE,cameramen,512,512,256.0,256.0,TRUE,0.0001,100000
110,1603774067-025589,64,7,123,TRUE,cameramen,512,512,256.0,256.0,TRUE,0.0001,100000
111,1603774067-025589,64,8,0,TRUE,cameramen,512,512,256.0,256.0,TRUE,0.0001,100000
112,1603774067-025589,64,8,42,TRUE,cameramen,512,512,256.0,256.0,TRUE,0.0001,100000
113,1603774067-025589,64,8,123,TRUE,cameramen,512,512,256.0,256.0,TRUE,0.0001,100000
114,1603774067-025589,64,9,0,TRUE,cameramen,512,512,256.0,256.0,TRUE,0.0001,100000
115,1603774067-025589,64,9,42,TRUE,cameramen,512,512,256.0,256.0,TRUE,0.0001,100000
116,1603774067-025589,64,9,123,TRUE,cameramen,512,512,256.0,256.0,TRUE,0.0001,100000
117,1603816949-617728,64,10,0,TRUE,cameramen,512,512,256.0,256.0,TRUE,0.0001,100000
118,1603816949-617728,64,10,42,TRUE,cameramen,512,512,256.0,256.0,TRUE,0.0001,100000
119,1603816949-617728,64,10,123,TRUE,cameramen,512,512,256.0,256.0,TRUE,0.0001,100000
120,1603816949-617728,64,11,0,TRUE,cameramen,512,512,256.0,256.0,TRUE,0.0001,100000
121,1603816949-617728,64,11,42,TRUE,cameramen,512,512,256.0,256.0,TRUE,0.0001,100000
122,1603816949-617728,64,11,123,TRUE,cameramen,512,512,256.0,256.0,TRUE,0.0001,100000
123,1603816949-617728,64,12,0,TRUE,cameramen,512,512,256.0,256.0,TRUE,0.0001,100000
124,1603816949-617728,64,12,42,TRUE,cameramen,512,512,256.0,256.0,TRUE,0.0001,100000
125,1603816949-617728,64,12,123,TRUE,cameramen,512,512,256.0,256.0,TRUE,0.0001,100000
126,1603816949-617728,64,13,0,TRUE,cameramen,512,512,256.0,256.0,TRUE,0.0001,100000
127,1603816949-617728,64,13,42,TRUE,cameramen,512,512,256.0,256.0,TRUE,0.0001,100000
128,1603816949-617728,64,13,123,TRUE,cameramen,512,512,256.0,256.0,TRUE,0.0001,100000
129,1603843559-156915,45,10,0,TRUE,cameramen,512,512,256.0,256.0,TRUE,0.0001,100000
130,1603843559-156915,45,10,42,TRUE,cameramen,512,512,256.0,256.0,TRUE,0.0001,100000
131,1603843559-156915,45,10,123,TRUE,cameramen,512,512,256.0,256.0,TRUE,0.0001,100000
132,1603843559-156915,45,11,0,TRUE,cameramen,512,512,256.0,256.0,TRUE,0.0001,100000
133,1603843559-156915,45,11,42,TRUE,cameramen,512,512,256.0,256.0,TRUE,0.0001,100000
134,1603843559-156915,45,11,123,TRUE,cameramen,512,512,256.0,256.0,TRUE,0.0001,100000
135,1603843559-156915,45,12,0,TRUE,cameramen,512,512,256.0,256.0,TRUE,0.0001,100000
136,1603843559-156915,45,12,42,TRUE,cameramen,512,512,256.0,256.0,TRUE,0.0001,100000
137,1603843559-156915,45,12,123,TRUE,cameramen,512,512,256.0,256.0,TRUE,0.0001,100000
138,1603843559-156915,45,13,0,TRUE,cameramen,512,512,256.0,256.0,TRUE,0.0001,100000
139,1603843559-156915,45,13,42,TRUE,cameramen,512,512,256.0,256.0,TRUE,0.0001,100000
140,1603843559-156915,45,13,123,TRUE,cameramen,512,512,256.0,256.0,TRUE,0.0001,100000
141,1603905451-45262,90,3,0,TRUE,cameramen,512,512,256.0,256.0,TRUE,0.0001,100000
142,1603905451-45262,90,3,42,TRUE,cameramen,512,512,256.0,256.0,TRUE,0.0001,100000
143,1603905451-45262,90,3,123,TRUE,cameramen,512,512,256.0,256.0,TRUE,0.0001,100000
144,1603905451-45262,90,4,0,TRUE,cameramen,512,512,256.0,256.0,TRUE,0.0001,100000
145,1603905451-45262,90,4,42,TRUE,cameramen,512,512,256.0,256.0,TRUE,0.0001,100000
146,1603905451-45262,90,4,123,TRUE,cameramen,512,512,256.0,256.0,TRUE,0.0001,100000
147,1603905451-45262,90,5,0,TRUE,cameramen,512,512,256.0,256.0,TRUE,0.0001,100000
148,1603905451-45262,90,5,42,TRUE,cameramen,512,512,256.0,256.0,TRUE,0.0001,100000
149,1603905451-45262,90,5,123,TRUE,cameramen,512,512,256.0,256.0,TRUE,0.0001,100000
150,1603905451-45262,90,6,0,TRUE,cameramen,512,512,256.0,256.0,TRUE,0.0001,100000
151,1603905451-45262,90,6,42,TRUE,cameramen,512,512,256.0,256.0,TRUE,0.0001,100000
152,1603905451-45262,90,6,123,TRUE,cameramen,512,512,256.0,256.0,TRUE,0.0001,100000
153,1603905451-45262,90,7,0,TRUE,cameramen,512,512,256.0,256.0,TRUE,0.0001,100000
154,1603905451-45262,90,7,42,TRUE,cameramen,512,512,256.0,256.0,TRUE,0.0001,100000
155,1603905451-45262,90,7,123,TRUE,cameramen,512,512,256.0,256.0,TRUE,0.0001,100000
156,1603905451-45262,90,8,0,TRUE,cameramen,512,512,256.0,256.0,TRUE,0.0001,100000
157,1603905451-45262,90,8,42,TRUE,cameramen,512,512,256.0,256.0,TRUE,0.0001,100000
158,1603905451-45262,90,8,123,TRUE,cameramen,512,512,256.0,256.0,TRUE,0.0001,100000
159,1603905451-45262,90,9,0,TRUE,cameramen,512,512,256.0,256.0,TRUE,0.0001,100000
160,1603905451-45262,90,9,42,TRUE,cameramen,512,512,256.0,256.0,TRUE,0.0001,100000
161,1603905451-45262,90,9,123,TRUE,cameramen,512,512,256.0,256.0,TRUE,0.0001,100000
162,1604097384-058852,35,2,0,TRUE,cameramen,512,512,256.0,256.0,TRUE,0.0001,100000
163,1604097384-058852,35,2,42,TRUE,cameramen,512,512,256.0,256.0,TRUE,0.0001,100000
164,1604097384-058852,35,2,123,TRUE,cameramen,512,512,256.0,256.0,TRUE,0.0001,100000
165,1604097384-058852,35,2,1234,TRUE,cameramen,512,512,256.0,256.0,TRUE,0.0001,100000
166,1604097384-058852,35,2,101,TRUE,cameramen,512,512,256.0,256.0,TRUE,0.0001,100000
167,1604097384-058852,35,3,0,TRUE,cameramen,512,512,256.0,256.0,TRUE,0.0001,100000
168,1604097384-058852,35,3,42,TRUE,cameramen,512,512,256.0,256.0,TRUE,0.0001,100000
169,1604097384-058852,35,3,123,TRUE,cameramen,512,512,256.0,256.0,TRUE,0.0001,100000
170,1604097384-058852,35,3,1234,TRUE,cameramen,512,512,256.0,256.0,TRUE,0.0001,100000
171,1604097384-058852,35,3,101,TRUE,cameramen,512,512,256.0,256.0,TRUE,0.0001,100000
172,1604097384-058852,35,4,0,TRUE,cameramen,512,512,256.0,256.0,TRUE,0.0001,100000
173,1604097384-058852,35,4,42,TRUE,cameramen,512,512,256.0,256.0,TRUE,0.0001,100000
174,1604097384-058852,35,4,123,TRUE,cameramen,512,512,256.0,256.0,TRUE,0.0001,100000
175,1604097384-058852,35,4,1234,TRUE,cameramen,512,512,256.0,256.0,TRUE,0.0001,100000
176,1604097384-058852,35,4,101,TRUE,cameramen,512,512,256.0,256.0,TRUE,0.0001,100000
177,1604097384-058852,35,5,0,TRUE,cameramen,512,512,256.0,256.0,TRUE,0.0001,100000
178,1604097384-058852,35,5,42,TRUE,cameramen,512,512,256.0,256.0,TRUE,0.0001,100000
179,1604097384-058852,35,5,123,TRUE,cameramen,512,512,256.0,256.0,TRUE,0.0001,100000
180,1604097384-058852,35,5,1234,TRUE,cameramen,512,512,256.0,256.0,TRUE,0.0001,100000
181,1604097384-058852,35,5,101,TRUE,cameramen,512,512,256.0,256.0,TRUE,0.0001,100000
182,1604097384-058852,35,6,0,TRUE,cameramen,512,512,256.0,256.0,TRUE,0.0001,100000
183,1604097384-058852,35,6,42,TRUE,cameramen,512,512,256.0,256.0,TRUE,0.0001,100000
184,1604097384-058852,35,6,123,TRUE,cameramen,512,512,256.0,256.0,TRUE,0.0001,100000
185,1604097384-058852,35,6,1234,TRUE,cameramen,512,512,256.0,256.0,TRUE,0.0001,100000
186,1604097384-058852,35,6,101,TRUE,cameramen,512,512,256.0,256.0,TRUE,0.0001,100000
187,1604097384-058852,35,7,0,TRUE,cameramen,512,512,256.0,256.0,TRUE,0.0001,100000
188,1604097384-058852,35,7,42,TRUE,cameramen,512,512,256.0,256.0,TRUE,0.0001,100000
189,1604097384-058852,35,7,123,TRUE,cameramen,512,512,256.0,256.0,TRUE,0.0001,100000
190,1604097384-058852,35,7,1234,TRUE,cameramen,512,512,256.0,256.0,TRUE,0.0001,100000
191,1604097384-058852,35,7,101,TRUE,cameramen,512,512,256.0,256.0,TRUE,0.0001,100000
192,1604097384-058852,35,8,0,TRUE,cameramen,512,512,256.0,256.0,TRUE,0.0001,100000
193,1604097384-058852,35,8,42,TRUE,cameramen,512,512,256.0,256.0,TRUE,0.0001,100000
194,1604097384-058852,35,8,123,TRUE,cameramen,512,512,256.0,256.0,TRUE,0.0001,100000
195,1604097384-058852,35,8,1234,TRUE,cameramen,512,512,256.0,256.0,TRUE,0.0001,100000
196,1604097384-058852,35,8,101,TRUE,cameramen,512,512,256.0,256.0,TRUE,0.0001,100000
197,1604097384-058852,35,9,0,TRUE,cameramen,512,512,256.0,256.0,TRUE,0.0001,100000
198,1604097384-058852,35,9,42,TRUE,cameramen,512,512,256.0,256.0,TRUE,0.0001,100000
199,1604097384-058852,35,9,123,TRUE,cameramen,512,512,256.0,256.0,TRUE,0.0001,100000
200,1604097384-058852,35,9,1234,TRUE,cameramen,512,512,256.0,256.0,TRUE,0.0001,100000
201,1604097384-058852,35,9,101,TRUE,cameramen,512,512,256.0,256.0,TRUE,0.0001,100000
202,1604282134-409324,25,2,0,TRUE,cameramen,512,512,256.0,256.0,TRUE,0.0001,100000
203,1604282134-409324,25,2,42,TRUE,cameramen,512,512,256.0,256.0,TRUE,0.0001,100000
204,1604282134-409324,25,2,123,TRUE,cameramen,512,512,256.0,256.0,TRUE,0.0001,100000
205,1604282134-409324,25,2,1234,TRUE,cameramen,512,512,256.0,256.0,TRUE,0.0001,100000
206,1604282134-409324,25,2,101,TRUE,cameramen,512,512,256.0,256.0,TRUE,0.0001,100000
207,1604282134-409324,25,3,0,TRUE,cameramen,512,512,256.0,256.0,TRUE,0.0001,100000
208,1604282134-409324,25,3,42,TRUE,cameramen,512,512,256.0,256.0,TRUE,0.0001,100000
209,1604282134-409324,25,3,123,TRUE,cameramen,512,512,256.0,256.0,TRUE,0.0001,100000
210,1604282134-409324,25,3,1234,TRUE,cameramen,512,512,256.0,256.0,TRUE,0.0001,100000
211,1604282134-409324,25,3,101,TRUE,cameramen,512,512,256.0,256.0,TRUE,0.0001,100000
212,1604282134-409324,25,4,0,TRUE,cameramen,512,512,256.0,256.0,TRUE,0.0001,100000
213,1604282134-409324,25,4,42,TRUE,cameramen,512,512,256.0,256.0,TRUE,0.0001,100000
214,1604282134-409324,25,4,123,TRUE,cameramen,512,512,256.0,256.0,TRUE,0.0001,100000
215,1604282134-409324,25,4,1234,TRUE,cameramen,512,512,256.0,256.0,TRUE,0.0001,100000
216,1604282134-409324,25,4,101,TRUE,cameramen,512,512,256.0,256.0,TRUE,0.0001,100000
217,1604282134-409324,25,5,0,TRUE,cameramen,512,512,256.0,256.0,TRUE,0.0001,100000
218,1604282134-409324,25,5,42,TRUE,cameramen,512,512,256.0,256.0,TRUE,0.0001,100000
219,1604282134-409324,25,5,123,TRUE,cameramen,512,512,256.0,256.0,TRUE,0.0001,100000
220,1604282134-409324,25,5,1234,TRUE,cameramen,512,512,256.0,256.0,TRUE,0.0001,100000
221,1604282134-409324,25,5,101,TRUE,cameramen,512,512,256.0,256.0,TRUE,0.0001,100000
222,1604282134-409324,25,6,0,TRUE,cameramen,512,512,256.0,256.0,TRUE,0.0001,100000
223,1604282134-409324,25,6,42,TRUE,cameramen,512,512,256.0,256.0,TRUE,0.0001,100000
224,1604282134-409324,25,6,123,TRUE,cameramen,512,512,256.0,256.0,TRUE,0.0001,100000
225,1604282134-409324,25,6,1234,TRUE,cameramen,512,512,256.0,256.0,TRUE,0.0001,100000
226,1604282134-409324,25,6,101,TRUE,cameramen,512,512,256.0,256.0,TRUE,0.0001,100000
227,1604282134-409324,25,7,0,TRUE,cameramen,512,512,256.0,256.0,TRUE,0.0001,100000
228,1604282134-409324,25,7,42,TRUE,cameramen,512,512,256.0,256.0,TRUE,0.0001,100000
229,1604282134-409324,25,7,123,TRUE,cameramen,512,512,256.0,256.0,TRUE,0.0001,100000
230,1604282134-409324,25,7,1234,TRUE,cameramen,512,512,256.0,256.0,TRUE,0.0001,100000
231,1604282134-409324,25,7,101,TRUE,cameramen,512,512,256.0,256.0,TRUE,0.0001,100000
232,1604282134-409324,25,8,0,TRUE,cameramen,512,512,256.0,256.0,TRUE,0.0001,100000
233,1604282134-409324,25,8,42,TRUE,cameramen,512,512,256.0,256.0,TRUE,0.0001,100000
234,1604282134-409324,25,8,123,TRUE,cameramen,512,512,256.0,256.0,TRUE,0.0001,100000
235,1604282134-409324,25,8,1234,TRUE,cameramen,512,512,256.0,256.0,TRUE,0.0001,100000
236,1604282134-409324,25,8,101,TRUE,cameramen,512,512,256.0,256.0,TRUE,0.0001,100000
237,1604282134-409324,25,9,0,TRUE,cameramen,512,512,256.0,256.0,TRUE,0.0001,100000
238,1604282134-409324,25,9,42,TRUE,cameramen,512,512,256.0,256.0,TRUE,0.0001,100000
239,1604282134-409324,25,9,123,TRUE,cameramen,512,512,256.0,256.0,TRUE,0.0001,100000
240,1604282134-409324,25,9,1234,TRUE,cameramen,512,512,256.0,256.0,TRUE,0.0001,100000
241,1604282134-409324,25,9,101,TRUE,cameramen,512,512,256.0,256.0,TRUE,0.0001,100000
